# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001992
  0.618798   0.001951
  0.627595   0.002072
  0.636393   0.002090
  0.645190   0.002162
  0.653988   0.002070
  0.662786   0.002054
  0.671583   0.001997
  0.680381   0.002008
  0.689178   0.002084
  0.697976   0.002090
  0.706774   0.002143
  0.715571   0.002145
  0.724369   0.002192
  0.733166   0.002180
  0.741964   0.002103
  0.750762   0.002043
  0.759559   0.002044
  0.768357   0.001978
  0.777154   0.001995
  0.785952   0.002109
  0.794749   0.002122
  0.803547   0.002133
  0.812345   0.002263
  0.821142   0.002306
  0.829940   0.002156
  0.838737   0.002226
  0.847535   0.002223
  0.856333   0.002248
  0.865130   0.002224
  0.873928   0.002250
  0.882725   0.002253
  0.891523   0.002441
  0.900321   0.002427
  0.909118   0.002334
  0.917916   0.002234
  0.926713   0.002182
  0.935511   0.002241
  0.944309   0.002311
  0.953106   0.002351
  0.961904   0.002243
  0.970701   0.002280
  0.979499   0.002280
  0.988297   0.002379
  0.997094   0.002303
  1.005892   0.002345
  1.014689   0.002342
  1.023487   0.002305
  1.032285   0.002315
  1.041082   0.002223
  1.049880   0.002200
  1.058677   0.002195
  1.067475   0.002156
  1.076273   0.002140
  1.085070   0.002151
  1.093868   0.002200
  1.102665   0.002245
  1.111463   0.002307
  1.120261   0.002475
  1.129058   0.002389
  1.137856   0.002408
  1.146653   0.002422
  1.155451   0.002539
  1.164248   0.002400
  1.173046   0.002503
  1.181844   0.002381
  1.190641   0.002423
  1.199439   0.002376
  1.208236   0.002307
  1.217034   0.002283
  1.225832   0.002266
  1.234629   0.002189
  1.243427   0.002151
  1.252224   0.002132
  1.261022   0.002117
  1.269820   0.002125
  1.278617   0.002148
  1.287415   0.002230
  1.296212   0.002248
  1.305010   0.002243
  1.313808   0.002303
  1.322605   0.002276
  1.331403   0.002384
  1.340200   0.002412
  1.348998   0.002378
  1.357796   0.002585
  1.366593   0.002369
  1.375391   0.002451
  1.384188   0.002463
  1.392986   0.002461
  1.401784   0.002510
  1.410581   0.002442
  1.419379   0.002565
  1.428176   0.002406
  1.436974   0.002384
  1.445772   0.002418
  1.454569   0.002462
  1.463367   0.002304
  1.472164   0.002306
  1.480962   0.002579
  1.489760   0.002387
  1.498557   0.002203
  1.507355   0.002432
