# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.005265
  0.618798   0.005263
  0.627595   0.005323
  0.636393   0.005335
  0.645190   0.005331
  0.653988   0.005321
  0.662786   0.005306
  0.671583   0.005270
  0.680381   0.005284
  0.689178   0.005319
  0.697976   0.005335
  0.706774   0.005355
  0.715571   0.005354
  0.724369   0.005382
  0.733166   0.005360
  0.741964   0.005322
  0.750762   0.005303
  0.759559   0.005300
  0.768357   0.005278
  0.777154   0.005283
  0.785952   0.005327
  0.794749   0.005339
  0.803547   0.005340
  0.812345   0.005378
  0.821142   0.005404
  0.829940   0.005356
  0.838737   0.005381
  0.847535   0.005381
  0.856333   0.005399
  0.865130   0.005377
  0.873928   0.005388
  0.882725   0.005387
  0.891523   0.005464
  0.900321   0.005451
  0.909118   0.005421
  0.917916   0.005381
  0.926713   0.005356
  0.935511   0.005398
  0.944309   0.005414
  0.953106   0.005406
  0.961904   0.005380
  0.970701   0.005407
  0.979499   0.005393
  0.988297   0.005457
  0.997094   0.005402
  1.005892   0.005426
  1.014689   0.005430
  1.023487   0.005416
  1.032285   0.005415
  1.041082   0.005364
  1.049880   0.005362
  1.058677   0.005360
  1.067475   0.005349
  1.076273   0.005348
  1.085070   0.005343
  1.093868   0.005362
  1.102665   0.005384
  1.111463   0.005409
  1.120261   0.005473
  1.129058   0.005448
  1.137856   0.005460
  1.146653   0.005466
  1.155451   0.005484
  1.164248   0.005459
  1.173046   0.005483
  1.181844   0.005441
  1.190641   0.005455
  1.199439   0.005438
  1.208236   0.005412
  1.217034   0.005388
  1.225832   0.005401
  1.234629   0.005358
  1.243427   0.005348
  1.252224   0.005343
  1.261022   0.005341
  1.269820   0.005342
  1.278617   0.005344
  1.287415   0.005382
  1.296212   0.005374
  1.305010   0.005369
  1.313808   0.005406
  1.322605   0.005388
  1.331403   0.005427
  1.340200   0.005433
  1.348998   0.005421
  1.357796   0.005526
  1.366593   0.005433
  1.375391   0.005460
  1.384188   0.005469
  1.392986   0.005473
  1.401784   0.005496
  1.410581   0.005457
  1.419379   0.005508
  1.428176   0.005455
  1.436974   0.005432
  1.445772   0.005442
  1.454569   0.005458
  1.463367   0.005396
  1.472164   0.005395
  1.480962   0.005504
  1.489760   0.005398
  1.498557   0.005365
  1.507355   0.005394
  1.516152   0.005365
  1.524950   0.005393
  1.533747   0.005402
  1.542545   0.005403
  1.551343   0.005388
  1.560140   0.005369
  1.568938   0.005362
  1.577735   0.005375
  1.586533   0.005365
  1.595331   0.005365
  1.604128   0.005374
  1.612926   0.005382
  1.621723   0.005408
  1.630521   0.005410
  1.639319   0.005418
  1.648116   0.005403
  1.656914   0.005436
  1.665711   0.005404
  1.674509   0.005446
  1.683307   0.005462
  1.692104   0.005407
  1.700902   0.005473
  1.709699   0.005483
  1.718497   0.005461
  1.727295   0.005511
  1.736092   0.005466
  1.744890   0.005414
  1.753687   0.005494
  1.762485   0.005497
  1.771283   0.005473
  1.780080   0.005457
  1.788878   0.005424
  1.797675   0.005448
  1.806473   0.005428
  1.815271   0.005418
  1.824068   0.005474
  1.832866   0.005464
  1.841663   0.005408
  1.850461   0.005462
  1.859259   0.005449
  1.868056   0.005405
