# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000978
  0.618798   0.000936
  0.627595   0.001007
  0.636393   0.001023
  0.645190   0.001130
  0.653988   0.001014
  0.662786   0.001003
  0.671583   0.000994
  0.680381   0.000978
  0.689178   0.001025
  0.697976   0.001034
  0.706774   0.001055
  0.715571   0.001067
  0.724369   0.001092
  0.733166   0.001106
  0.741964   0.001053
  0.750762   0.001013
  0.759559   0.001001
  0.768357   0.000976
  0.777154   0.000984
  0.785952   0.001065
  0.794749   0.001055
  0.803547   0.001086
  0.812345   0.001209
  0.821142   0.001221
  0.829940   0.001083
  0.838737   0.001144
  0.847535   0.001147
  0.856333   0.001152
  0.865130   0.001149
  0.873928   0.001169
  0.882725   0.001182
  0.891523   0.001315
  0.900321   0.001322
  0.909118   0.001228
  0.917916   0.001178
  0.926713   0.001143
  0.935511   0.001149
  0.944309   0.001207
  0.953106   0.001306
  0.961904   0.001173
  0.970701   0.001191
  0.979499   0.001225
  0.988297   0.001255
  0.997094   0.001218
  1.005892   0.001239
  1.014689   0.001230
  1.023487   0.001202
  1.032285   0.001214
  1.041082   0.001161
  1.049880   0.001140
  1.058677   0.001134
  1.067475   0.001099
  1.076273   0.001091
  1.085070   0.001112
  1.093868   0.001160
  1.102665   0.001173
  1.111463   0.001233
  1.120261   0.001351
  1.129058   0.001276
  1.137856   0.001310
  1.146653   0.001295
  1.155451   0.001413
  1.164248   0.001289
  1.173046   0.001372
  1.181844   0.001281
  1.190641   0.001312
  1.199439   0.001278
  1.208236   0.001233
  1.217034   0.001218
  1.225832   0.001180
  1.234629   0.001147
  1.243427   0.001114
  1.252224   0.001096
  1.261022   0.001085
  1.269820   0.001093
  1.278617   0.001110
  1.287415   0.001148
  1.296212   0.001200
  1.305010   0.001209
  1.313808   0.001234
  1.322605   0.001215
  1.331403   0.001294
  1.340200   0.001357
  1.348998   0.001354
  1.357796   0.001428
  1.366593   0.001289
  1.375391   0.001341
  1.384188   0.001347
  1.392986   0.001348
  1.401784   0.001373
  1.410581   0.001334
  1.419379   0.001422
  1.428176   0.001293
  1.436974   0.001364
  1.445772   0.001333
