# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001188
  0.618798   0.001167
  0.627595   0.001201
  0.636393   0.001208
  0.645190   0.001254
  0.653988   0.001204
  0.662786   0.001199
  0.671583   0.001196
  0.680381   0.001188
  0.689178   0.001209
  0.697976   0.001214
  0.706774   0.001222
  0.715571   0.001227
  0.724369   0.001238
  0.733166   0.001243
  0.741964   0.001221
  0.750762   0.001205
  0.759559   0.001199
  0.768357   0.001189
  0.777154   0.001192
  0.785952   0.001227
  0.794749   0.001222
  0.803547   0.001236
  0.812345   0.001285
  0.821142   0.001289
  0.829940   0.001235
  0.838737   0.001259
  0.847535   0.001260
  0.856333   0.001262
  0.865130   0.001261
  0.873928   0.001268
  0.882725   0.001275
  0.891523   0.001323
  0.900321   0.001326
  0.909118   0.001291
  0.917916   0.001273
  0.926713   0.001260
  0.935511   0.001262
  0.944309   0.001284
  0.953106   0.001322
  0.961904   0.001271
  0.970701   0.001278
  0.979499   0.001292
  0.988297   0.001302
  0.997094   0.001288
  1.005892   0.001295
  1.014689   0.001292
  1.023487   0.001281
  1.032285   0.001286
  1.041082   0.001266
  1.049880   0.001258
  1.058677   0.001255
  1.067475   0.001241
  1.076273   0.001238
  1.085070   0.001247
  1.093868   0.001267
  1.102665   0.001271
  1.111463   0.001295
  1.120261   0.001336
  1.129058   0.001310
  1.137856   0.001324
  1.146653   0.001316
  1.155451   0.001360
  1.164248   0.001314
  1.173046   0.001344
  1.181844   0.001312
  1.190641   0.001323
  1.199439   0.001310
  1.208236   0.001294
  1.217034   0.001289
  1.225832   0.001273
  1.234629   0.001261
  1.243427   0.001248
  1.252224   0.001240
  1.261022   0.001236
  1.269820   0.001239
  1.278617   0.001246
  1.287415   0.001260
  1.296212   0.001282
  1.305010   0.001286
  1.313808   0.001295
  1.322605   0.001288
  1.331403   0.001317
  1.340200   0.001341
  1.348998   0.001340
  1.357796   0.001367
  1.366593   0.001315
  1.375391   0.001333
  1.384188   0.001335
  1.392986   0.001336
  1.401784   0.001344
  1.410581   0.001331
  1.419379   0.001364
  1.428176   0.001316
  1.436974   0.001345
  1.445772   0.001331
  1.454569   0.001345
  1.463367   0.001299
  1.472164   0.001323
  1.480962   0.001367
  1.489760   0.001338
  1.498557   0.001286
  1.507355   0.001356
  1.516152   0.001264
  1.524950   0.001270
  1.533747   0.001263
  1.542545   0.001310
  1.551343   0.001278
  1.560140   0.001265
  1.568938   0.001264
  1.577735   0.001274
  1.586533   0.001274
  1.595331   0.001266
  1.604128   0.001306
  1.612926   0.001312
  1.621723   0.001338
  1.630521   0.001332
  1.639319   0.001331
  1.648116   0.001324
  1.656914   0.001323
  1.665711   0.001329
  1.674509   0.001350
  1.683307   0.001344
  1.692104   0.001334
  1.700902   0.001341
  1.709699   0.001338
  1.718497   0.001334
  1.727295   0.001350
  1.736092   0.001353
  1.744890   0.001334
  1.753687   0.001359
